id,nombre,cargo,grupo,nucleo,nivel_riesgo,nivel_influencia,avatar_local,iniciales,descripcion,fuente_nombre,fuente_url,fecha_corte,fractura_nivel,fractura_motivo,op_politica,cap_conciliadora,com_conectiva,legitimidad,resiliencia,foda_fortalezas,foda_oportunidades,foda_debilidades,foda_amenazas
ronald_johnson,Ronald Johnson,Embajador de Estados Unidos en México,Trump (EEUU),,medio,3,,RJ,"Embajador de EE.UU. en México desde el 9 de abril de 2025 (confirmado por el Senado 49-46). Coronel retirado del ejército, exoficial de la CIA y exembajador en El Salvador. En su audiencia de confirmación no descartó una acción militar en suelo mexicano sin notificar a las autoridades si estuviera en riesgo la vida de un ciudadano estadounidense. En abril de 2026 protagonizó una crisis diplomática tras la muerte de dos agentes de la CIA en un accidente vehicular en la Sierra Tarahumara, Chihuahua, durante una operación antidrogas sin aviso previo al gobierno mexicano; México le envió una carta de extrañamiento diplomático.",Wikipedia (es),https://es.wikipedia.org/wiki/Ronald_Douglas_Johnson,2026-08-24,,,,,,,,,,,
pete_hegseth,Pete Hegseth,Secretario de Defensa de Estados Unidos,Trump (EEUU),,medio,3,,PH,"Secretario de Defensa ('Guerra') de Estados Unidos. Ha llevado la voz más beligerante de la administración Trump hacia México: comparó a los cárteles con Al-Qaeda e ISIS (mayo 2026), exigió a México 'dar un paso adelante para que nosotros no tengamos que hacerlo', y en agosto de 2026 anunció que EE.UU. prepara operaciones terrestres contra cárteles en América Latina, aunque sin confirmar ataques unilaterales dentro de México. Reconoce 'colaboración sin precedentes' con Sedena y Semar pese al tono de presión.",Infobae,https://www.infobae.com/mexico/2026/05/27/trump-y-pete-hegseth-advierten-guerra-total-contra-los-carteles-y-dejan-fuera-a-mexico/,2026-08-24,,,,,,,,,,,
stephen_miller,Stephen Miller,Subjefe de Gabinete de la Casa Blanca para Política,Trump (EEUU),,sin_evaluar,3,,SM,"Subjefe de Gabinete de la Casa Blanca para Política (análisis interno, red personal).",Análisis interno,,2026-08-22,,,,,,,,,,,
howard_lutnick,Howard Lutnick,Secretario de Comercio de Estados Unidos,Trump (EEUU),,sin_evaluar,3,,HL,"Secretario de Comercio de Estados Unidos (análisis interno, red personal).",Análisis interno,,2026-08-22,,,,,,,,,,,
jamieson_greer,Jamieson Greer,Representante Comercial de Estados Unidos,Trump (EEUU),,sin_evaluar,3,,JG,"Representante Comercial de Estados Unidos (análisis interno, red personal).",Análisis interno,,2026-08-22,,,,,,,,,,,
steve_witkoff,Steve Witkoff,Enviado Especial del Presidente de Estados Unidos,Trump (EEUU),,sin_evaluar,3,,SW,"Enviado Especial del Presidente de Estados Unidos (análisis interno, red personal).",Análisis interno,,2026-08-22,,,,,,,,,,,
terrance_cole,Terrance Cole,Director de la DEA,Trump (EEUU),,medio,3,,TC,"Administrador de la DEA desde el 23 de julio de 2025, confirmado por el Senado (50-47). Veterano de 22 años en la DEA (fue director regional interino para México, Canadá y Centroamérica) y exsecretario de Seguridad Pública de Virginia. Como prioridad, declaró el desmantelamiento de las redes de fentanilo y el crimen organizado transnacional, en línea directa con la presión de la administración Trump sobre los cárteles mexicanos.",DEA.gov,https://www.dea.gov/press-releases/2025/07/25/terrance-c-cole-sworn-administrator-us-drug-enforcement-administration,2025-07-25,,,,,,,,,,,
francisco_almazan_barocio,Francisco Almazán Barocio,Director General del Centro Nacional de Inteligencia,Sheinbaum,,bajo,3,,FA,"Director General del Centro Nacional de Inteligencia (CNI) desde septiembre de 2024. Considerado uno de los perfiles de mayor confianza de Omar García Harfuch, a quien sirvió de cerca cuando fue jefe de la Policía de Investigación (PDI) de la Fiscalía de la CDMX (2019-2024). Licenciado en Derecho con maestría en Derecho Penal; formación en la Policía de España y el FBI. Lideró la investigación del atentado contra García Harfuch en 2020 y el caso de corrupción policial 'Black Wall Street Capital' (2023, 7 policías detenidos). Sin controversias públicas propias documentadas.",Infobae,https://www.infobae.com/mexico/2024/09/18/quien-es-francisco-almazan-barocio-mano-derecha-de-omar-garcia-harfuch-que-podria-encabezar-el-centro-nacional-de-inteligencia-cni/,2026-08-24,,,,,,,,,,,
francisco_javier_moreno_montano,Francisco Javier Moreno Montaño,Comisionado del Servicio de Protección Federal,Sheinbaum,,bajo,3,,FJ,"Comisionado del Servicio de Protección Federal, dentro de la Secretaría de Seguridad y Protección Ciudadana que encabeza Omar García Harfuch. Perfil técnico de seguridad institucional, con escasa cobertura mediática individual disponible (dato de menor profundidad que el resto de este lote — no se localizó biografía detallada ni controversias públicas).",Análisis,,2026-08-24,,,,,,,,,,,
pablo_vazquez_camacho,Pablo Vázquez Camacho,Secretario de Seguridad Ciudadana de la Ciudad de México,Sheinbaum,,bajo,3,,PV,"Secretario de Seguridad Ciudadana de la Ciudad de México, ratificado por Clara Brugada al inicio de su gobierno (2024). Asumió el cargo tras la salida de Omar García Harfuch. Licenciado en Relaciones Internacionales por el ITAM, con maestría en Política Criminal por la London School of Economics y estudios sobre delincuencia organizada en Sicilia y Macedonia. Coordina programas de prevención como 'Alto al Fuego' y 'Reconecta con la Paz'; sin controversias públicas relevantes documentadas al corte.",El Universal,https://www.eluniversal.com.mx/metropoli/perfil-quien-es-pablo-vazquez-secretario-de-seguridad-ciudadana-de-la-cdmx/,2026-08-24,,,,,,,,,,,
marcela_figueroa_franco,Marcela Figueroa Franco,Secretaria Ejecutiva del Sistema Nacional de Seguridad Pública,Sheinbaum,,sin_evaluar,3,,MF,"Secretaria Ejecutiva del Sistema Nacional de Seguridad Pública (análisis interno, red personal).",Análisis interno,,2026-08-22,,,,,,,,,,,
omar_reyes_colmenares,Omar Reyes Colmenares,Titular de la Unidad de Inteligencia Financiera,Sheinbaum,,sin_evaluar,3,,OR,"Titular de la Unidad de Inteligencia Financiera (análisis interno, red personal).",Análisis interno,,2026-08-22,,,,,,,,,,,
israel_benitez_lopez,Israel Benítez López,Director General de Pemex Logística,Sheinbaum,,sin_evaluar,3,,IB,"Director General de Pemex Logística (análisis interno, red personal).",Análisis interno,,2026-08-22,,,,,,,,,,,
ricardo_trevilla_trejo,Ricardo Trevilla Trejo,Secretario de la Defensa Nacional,Sheinbaum,,sin_evaluar,3,,RT,"Secretario de la Defensa Nacional (análisis interno, red personal).",Análisis interno,,2026-08-22,,,,,,,,,,,
raymundo_pedro_morales_angeles,Raymundo Pedro Morales Ángeles,Secretario de Marina,Sheinbaum,,sin_evaluar,3,,RP,"Secretario de Marina (análisis interno, red personal).",Análisis interno,,2026-08-22,,,,,,,,,,,
luis_rodriguez_bucio,Luis Rodríguez Bucio,Comandante de la Guardia Nacional,Sheinbaum,,sin_evaluar,3,,LR,"Comandante de la Guardia Nacional (análisis interno, red personal).",Análisis interno,,2026-08-22,,,,,,,,,,,
leticia_ramirez_amaya,Leticia Ramírez Amaya,Secretaria de Bienestar,Sheinbaum,,bajo,3,,LR,"Secretaria de Bienestar desde el 29 de abril de 2026, tras la renuncia de Ariadna Montiel Reyes hacia la dirigencia de Morena. Profesora normalista de primaria por más de 12 años, con más de 25 años en la administración pública; fue secretaria de Educación Pública (2022-2024) con AMLO y coordinadora de Asuntos Intergubernamentales en la Presidencia con Sheinbaum. Describe una relación de confianza personal de larga data con la Presidenta ('nos conocemos desde hace muchísimos años'). Administra un padrón de más de 25 millones de beneficiarios de programas sociales; sin controversias públicas relevantes documentadas al corte.",Infobae,https://www.infobae.com/mexico/2026/04/29/del-gabinete-de-amlo-al-de-sheinbaum-quien-es-leticia-ramirez-la-nueva-titular-de-la-secretaria-del-bienestar/,2026-08-24,,,,,,,,,,,
ulises_lara_lopez,Ulises Lara López,Exfuncionario de la Fiscalía General de la República,Sheinbaum,,medio,3,,UL,"Fue encargado de despacho de la Fiscalía General de Justicia de la CDMX (enero 2024) tras la salida de Ernestina Godoy, después titular de la Fiscalía Especial en Investigación de Asuntos Relevantes de la FGR (enero 2026), cargo del que renunció por motivos personales en julio de 2026. Sociólogo por la UNAM con doctorado en Derecho; su nombramiento como fiscal generó controversia porque obtuvo su cédula de abogado mediante un procedimiento acelerado ('fast track') en 2024, lo que generó dudas públicas sobre su idoneidad para el cargo. Es descrito como amigo cercano de Sheinbaum desde su época de liderazgo estudiantil en la UNAM.",Infobae,https://www.infobae.com/mexico/2026/01/03/de-la-fiscalia-de-cdmx-a-la-fgr-ulises-lara-es-nombrado-fiscal-especial-en-investigacion-de-asuntos-relevantes/,2026-08-24,,,,,,,,,,,
arturo_zaldivar_lelo_de_larrea,Arturo Zaldívar Lelo de Larrea,Coordinador General de Política y Gobierno de la Presidencia de la República,Sheinbaum,,sin_evaluar,3,,AZ,"Coordinador General de Política y Gobierno de la Presidencia de la República (análisis interno, red personal).",Análisis interno,,2026-08-22,,,,,,,,,,,
pablo_gomez_alvarez,Pablo Gómez Álvarez,Exintegrante de la Comisión Presidencial para la Reforma Electoral,Sheinbaum,,sin_evaluar,3,,PG,"Exintegrante de la Comisión Presidencial para la Reforma Electoral (análisis interno, red personal).",Análisis interno,,2026-08-22,,,,,,,,,,,
luis_rosendo_gutierrez_romano,Luis Rosendo Gutiérrez Romano,Subsecretario de Comercio Exterior,Sheinbaum,,bajo,3,,LR,"Subsecretario de Comercio Exterior en la Secretaría de Economía que encabeza Marcelo Ebrard, con quien trabaja en la negociación de la revisión del T-MEC. Perfil técnico, con escasa cobertura mediática individual disponible (dato de menor profundidad que el resto de este lote — no se localizó biografía detallada ni controversias públicas).",Análisis,,2026-08-24,,,,,,,,,,,
ximena_escobedo_juarez,Ximena Escobedo Juárez,Subsecretaria de Industria y Comercio,Sheinbaum,,bajo,3,,XE,"Subsecretaria de Industria y Comercio en la Secretaría de Economía que encabeza Marcelo Ebrard. Perfil técnico, con escasa cobertura mediática individual disponible (dato de menor profundidad que el resto de este lote — no se localizó biografía detallada ni controversias públicas).",Análisis,,2026-08-24,,,,,,,,,,,
martha_delgado_peralta,Martha Delgado Peralta,Exsubsecretaria para Asuntos Multilaterales y Derechos Humanos de la SRE,Sheinbaum,,sin_evaluar,3,,MD,"Exsubsecretaria para Asuntos Multilaterales y Derechos Humanos de la SRE (análisis interno, red personal).",Análisis interno,,2026-08-22,,,,,,,,,,,
malu_micher_camarena,Malú Mícher Camarena,Senadora de la República,Sheinbaum,,sin_evaluar,3,,MM,"Senadora de la República (análisis interno, red personal).",Análisis interno,,2026-08-22,,,,,,,,,,,
jesus_valdes_pena,Jesús Valdés Peña,Coordinador Nacional de Avanzada Nacional,Sheinbaum,,sin_evaluar,3,,JV,"Coordinador Nacional de Avanzada Nacional (análisis interno, red personal).",Análisis interno,,2026-08-22,,,,,,,,,,,
vidal_llerenas_morales,Vidal Llerenas Morales,Subsecretario de Industria y Comercio,Sheinbaum,,sin_evaluar,3,,VL,"Subsecretario de Industria y Comercio (análisis interno, red personal).",Análisis interno,,2026-08-22,,,,,,,,,,,
gabriel_garcia_hernandez,Gabriel García Hernández,Delegado Nacional de Morena,Morena,,bajo,3,,GG,"Operador político y financiero de AMLO desde hace más de 20 años; fue coordinador de los 'superdelegados' federales (2018-2021) y secretario de Organización de Morena. Diputado federal por Morena desde septiembre de 2024. Economista por la UNAM con maestría en Finanzas Públicas por el INAP. Descrito como uno de los operadores menos mediáticos pero más influyentes del entorno de AMLO, con control histórico de la estructura territorial del partido. Sin controversias públicas relevantes documentadas.",El Heraldo de México,https://heraldodemexico.com.mx/nacional/2024/7/4/quien-es-gabriel-garcia-hernandez-diputado-por-mayoria-relativa-de-morena-617922.html,2026-08-24,,,,,,,,,,,
carlos_torres_rosas,Carlos Torres Rosas,Excoordinador General de Programas para el Desarrollo,Morena,,sin_evaluar,3,,CT,"Excoordinador General de Programas para el Desarrollo (análisis interno, red personal).",Análisis interno,,2026-08-22,,,,,,,,,,,
daniel_asaf_manjarrez,Daniel Asaf Manjarrez,Diputado federal por Morena,AMLO,,bajo,3,,DA,"Diputado federal por Morena, dentro de la red política de Andy López Beltrán en Tabasco. Perfil legislativo de segundo nivel, con escasa cobertura mediática individual disponible (dato de menor profundidad que el resto de este lote — no se localizó biografía detallada ni controversias públicas).",Análisis,,2026-08-24,,,,,,,,,,,
amilcar_olan_aparicio,Amílcar Olán Aparicio,Empresario,AMLO,,sin_evaluar,3,,AO,"Empresario (análisis interno, red personal).",Análisis interno,,2026-08-22,,,,,,,,,,,
alex_tonatiuh_marquez_hernandez,Álex Tonatiuh Márquez Hernández,Exdirector de Investigación Aduanera de la ANAM,AMLO,,sin_evaluar,3,,ÁT,"Exdirector de Investigación Aduanera de la ANAM (análisis interno, red personal).",Análisis interno,,2026-08-22,,,,,,,,,,,
mario_mabarak,Mario Mabarak,Empresario,AMLO,,sin_evaluar,3,,MM,"Empresario (análisis interno, red personal).",Análisis interno,,2026-08-22,,,,,,,,,,,
ricardo_pacheco,Ricardo Pacheco,Empresario,AMLO,,sin_evaluar,3,,RP,"Empresario (análisis interno, red personal).",Análisis interno,,2026-08-22,,,,,,,,,,,
bertha_lujan_uranga,Bertha Luján Uranga,Expresidenta del Consejo Nacional de Morena,Sheinbaum,,bajo,3,,BL,"Fundadora de Morena y presidenta de su Consejo Nacional (2015-2022); fue titular de la Contraloría del entonces Distrito Federal con AMLO (2000-2006) y secretaria del Trabajo en su 'gabinete legítimo'. Es madre de Luisa María Alcalde (secretaria de Gobernación) y de Bertha María Alcalde (titular del ISSSTE), y esposa del abogado laboralista Arturo Alcalde Justiniani — es decir, matriarca de una de las familias con mayor peso institucional simultáneo dentro del gobierno de Sheinbaum. Sin controversias públicas relevantes documentadas.",Wikipedia (es),https://es.wikipedia.org/wiki/Bertha_Luj%C3%A1n_Uranga,2026-08-24,,,,,,,,,,,
arturo_alcalde_justiniani,Arturo Alcalde Justiniani,Abogado laboralista y dirigente sindical,Sheinbaum,,bajo,3,,AA,Abogado laboralista y dirigente sindical de larga trayectoria en la izquierda mexicana. Esposo de Bertha Luján Uranga (fundadora de Morena) y padre de Luisa María Alcalde (secretaria de Gobernación) y Bertha María Alcalde (titular del ISSSTE) — patriarca de una de las familias con mayor peso institucional simultáneo dentro del gobierno de Sheinbaum. Sin cargo público formal ni controversias públicas relevantes documentadas.,Milenio,https://www.milenio.com/politica/es-bertha-lujan-uranga-porpuesta-para-la-corte,2026-08-24,,,,,,,,,,,
bertha_alcalde_lujan,Bertha Alcalde Luján,Fiscal General de Justicia de la Ciudad de México,Sheinbaum,,sin_evaluar,3,,BA,"Fiscal General de Justicia de la Ciudad de México (análisis interno, red personal).",Análisis interno,,2026-08-22,,,,,,,,,,,
marti_batres_guadarrama,Martí Batres Guadarrama,Director General del ISSSTE,Morena,,medio,3,,MB,"Director General del ISSSTE desde el 5 de octubre de 2024, sin periodo fijo. Fue jefe de Gobierno sustituto de la CDMX (2023-24) y presidente del Senado (2018-19). En abril de 2026 su hermana, la ministra de la Suprema Corte Lenia Batres, resolvió un amparo que benefició al ISSSTE con más de 5,000 millones de pesos en impuestos, lo que generó señalamientos públicos de conflicto de interés. Como jefe de Gobierno sustituto recibió medidas cautelares electorales del IECM por una denuncia del PAN (sin sanción firme al corte).",Cultura Colectiva,https://news.culturacolectiva.com/noticias/mexico/gobierno-mexico/quien-es-marti-batres/,2026-07-30,,,,,,,,,,,
juan_gamez,Juan de Dios Gámez Mendívil,Alcalde de Culiacán,Gobierno de Sinaloa,,alto,3,,JD,"Alcalde de Culiacán, señalado junto con Rocha Moya y otros funcionarios en la acusación de fiscales del Distrito Sur de Nueva York por presuntos vínculos con el Cártel de Sinaloa (análisis).",Análisis,,2026-08-23,,,,,,,,,,,
gerardo_merida,Gerardo Mérida Sánchez,Exsecretario de Seguridad Pública de Sinaloa,Gobierno de Sinaloa,,alto,3,,GM,"Exsecretario de Seguridad Pública de Sinaloa, señalado junto con Rocha Moya y otros funcionarios en la acusación de fiscales del Distrito Sur de Nueva York por presuntos vínculos con el Cártel de Sinaloa (análisis).",Análisis,,2026-08-23,,,,,,,,,,,
enrique_diaz_vega,Enrique Díaz Vega,Exsecretario de Administración y Finanzas de Sinaloa,Gobierno de Sinaloa,,alto,3,,ED,"Exsecretario de Administración y Finanzas de Sinaloa, señalado junto con Rocha Moya y otros funcionarios en la acusación de fiscales del Distrito Sur de Nueva York por presuntos vínculos con el Cártel de Sinaloa (análisis).",Análisis,,2026-08-23,,,,,,,,,,,
damaso_castro,Dámaso Castro Saavedra,Fiscal general adjunto de la Fiscalía de Sinaloa,Gobierno de Sinaloa,,alto,3,,DC,"Fiscal general adjunto de la Fiscalía de Sinaloa, señalado junto con Rocha Moya y otros funcionarios en la acusación de fiscales del Distrito Sur de Nueva York por presuntos vínculos con el Cártel de Sinaloa (análisis).",Análisis,,2026-08-23,,,,,,,,,,,
marco_almanzar,Marco Antonio Almánzar Zavilés,Exjefe de la Policía de Investigación del Estado,Gobierno de Sinaloa,,alto,3,,MA,"Exjefe de la Policía de Investigación del Estado, señalado junto con Rocha Moya y otros funcionarios en la acusación de fiscales del Distrito Sur de Nueva York por presuntos vínculos con el Cártel de Sinaloa (análisis).",Análisis,,2026-08-23,,,,,,,,,,,
enrique_inzunza,Enrique Inzunza Cázarez,"Senador por Sinaloa (independiente, ex-Morena)",Sin grupo parlamentario (salió de Morena el 26-ago-2026),,alto,4,,EI,"Senador por Sinaloa. El 26 de agosto de 2026 dejó la bancada de Morena tras negarse a solicitar licencia, pese a una solicitud de detención provisional con fines de extradición enviada por EE.UU. el 28 de abril de 2026 (Fiscalía Federal del Distrito Sur de Nueva York), por presuntos nexos con el Cártel de Sinaloa. Acumulaba más de 90 días de inasistencia al pleno. Continúa en el cargo con fuero constitucional, ejerciendo como legislador independiente; niega los señalamientos y los califica de ""lawfare"".",Infobae,https://www.infobae.com/mexico/2026/08/26/enrique-inzunza-sale-de-la-bancada-de-morena-en-el-senado-tras-negarse-a-pedir-licencia/,2026-08-26,,,,,,,,,,,
higinio_martinez,Higinio Martínez Miranda,"Senador por el Estado de México, próximo Presidente de la Mesa Directiva del Senado (desde el 1 de septiembre de 2026)",Morena,,bajo,7,,HM,Senador con enorme peso político en el Estado de México. Amarró el consenso de la bancada de Morena para presidir la Mesa Directiva del Senado a partir del 1 de septiembre de 2026.,Excélsior,https://www.excelsior.com.mx/politica/higinio-martinez-sera-presidente-senado,2026-08-26,,,,,,,,,,,
alberto_anaya,Alberto Anaya Gutiérrez,Coordinador del Grupo Parlamentario del PT en el Senado,Partido del Trabajo,,bajo,6,,AA,"Líder histórico del PT, encargado de alinear los votos de la izquierda aliada al gobierno en el Senado.",,,2026-08-26,,,,,,,,,,,
manuel_anorve,Manuel Añorve Baños,Coordinador del Grupo Parlamentario del PRI en el Senado,PRI,,bajo,6,,MA,"Controla los votos y el posicionamiento del bloque priista en el Senado, con peso en debates de alta tensión política.",,,2026-08-26,,,,,,,,,,,
clemente_castaneda,Clemente Castañeda Hoeflich,Coordinador del Grupo Parlamentario de Movimiento Ciudadano en el Senado,Movimiento Ciudadano,,bajo,6,,CC,"Dirige a la bancada naranja en el Senado, que actúa como ""voto bisagra"" cuando las votaciones entre oficialismo y oposición tradicional están muy cerradas.",,,2026-08-26,,,,,,,,,,,
carlos_puente_salas,Carlos Alberto Puente Salas,Coordinador del Grupo Parlamentario del PVEM en la Cámara de Diputados,Partido Verde,,bajo,6,,CA,El PVEM representa votos fundamentales en San Lázaro para mantener la supermayoría parlamentaria del gobierno.,,,2026-08-26,,,,,,,,,,,
reginaldo_sandoval,Reginaldo Sandoval Flores,Coordinador del Grupo Parlamentario del PT en la Cámara de Diputados,Partido del Trabajo,,bajo,6,,RS,Operador de izquierda que agrupa los votos de su partido para reformas constitucionales y leyes enviadas por el Ejecutivo.,,,2026-08-26,,,,,,,,,,,
kenia_lopez_rabadan,Kenia López Rabadán,Presidenta de la Mesa Directiva de la Cámara de Diputados (hasta el 31 de agosto de 2026),PAN,,bajo,7,,KL,Su cargo representa el máximo poder institucional y legal dentro de San Lázaro. Su gestión termina el 31 de agosto de 2026.,Cámara de Diputados,https://www.facebook.com/camaradediputados/posts/-la-diputada-kenia-l%C3%B3pez-rabad%C3%A1n-asumi%C3%B3-la-presidencia-de-la-mesa-directiva-de-l/1265710795593676/,2026-08-26,,,,,,,,,,,
noe_castanon,Noé Castañón Ramírez,Coordinador del Grupo Parlamentario del PAN en la Cámara de Diputados,PAN,,bajo,6,,NC,"Jefe político de la primera minoría opositora en la Cámara Baja, liderando la agenda y el debate frente a Morena.",,,2026-08-26,,,,,,,,,,,
ruben_moreira,Rubén Moreira Valdez,Coordinador del Grupo Parlamentario del PRI en la Cámara de Diputados,PRI,,bajo,6,,RM,"Estratega legislativo experimentado, comanda al bloque priista en debates técnicos sobre presupuestos y reformas constitucionales.",,,2026-08-26,,,,,,,,,,,
ivon_ortega,Ivon Ortega Pacheco,Coordinadora del Grupo Parlamentario de Movimiento Ciudadano en la Cámara de Diputados,Movimiento Ciudadano,,bajo,5,,IO,Dirige los escaños de la bancada naranja en San Lázaro; su papel cobra relevancia al romper o consolidar bloqueos legislativos del bloque oficialista.,,,2026-08-26,,,,,,,,,,,
carlos_slim,Carlos Slim Helú,Presidente de Grupo Carso y América Móvil,Sector empresarial,,bajo,8,,CS,"El empresario más influyente y con mayor riqueza de México. Su peso abarca telecomunicaciones, infraestructura, construcción y servicios financieros; interlocutor habitual de alto nivel con el gobierno.",,,2026-08-26,,,,,,,,,,,
jose_medina_mora,José Medina Mora Icaza,Presidente del Consejo Coordinador Empresarial (CCE),Sector empresarial,,bajo,7,,JM,"Cabeza del máximo órgano de representación del sector privado en México, voz oficial del empresariado frente al gobierno federal.",CCE,https://cce.org.mx/acerca-de/presidente/,2026-08-26,,,,,,,,,,,
juan_sierra_coparmex,Juan José Sierra Álvarez,Presidente Nacional de COPARMEX,Sector empresarial,,bajo,6,,JJ,"Dirige al sindicato patronal más grande del país, activo en discusiones sobre MiPymes, reformas laborales e iniciativas de beneficio social.",,,2026-08-26,,,,,,,,,,,
ricardo_salinas_pliego,Ricardo Salinas Pliego,"Presidente de Grupo Salinas (TV Azteca, Banco Azteca, Elektra)",Sector empresarial,,medio,8,,RS,Empresario influyente y polémico. Su alcance mediático y postura de abierta confrontación en redes sociales contra las políticas fiscales y económicas del gobierno lo convierten en un contrapeso empresarial muy visible.,,,2026-08-26,,,,,,,,,,,
claudio_x_gonzalez,Claudio X. González Guajardo,"Activista, abogado y empresario",Sociedad civil / oposición ciudadana,,bajo,6,,CX,"Principal articulador de los bloques de oposición ciudadana y partidista (promotor de alianzas como Va por México). Opera a través de Mexicanos Primero y Sí por México, impulsando fiscalización ciudadana y defensa de organismos autónomos.",,,2026-08-26,,,,,,,,,,,
ciro_gomez_leyva,Ciro Gómez Leyva,Periodista y conductor (radio y televisión),Medios de comunicación,,bajo,7,,CG,Uno de los líderes de opinión más escuchados en radio matutina y televisión nocturna. Referente del debate periodístico y termómetro de la relación gobierno-prensa.,,,2026-08-26,,,,,,,,,,,
lopez_doriga,Joaquín López-Dóriga,Periodista (Radio Fórmula y plataformas digitales),Medios de comunicación,,bajo,7,,JL,"Periodista histórico de la televisión mexicana, ahora concentrado en radio y plataformas digitales. Amplias redes de contactos políticos y capacidad para fijar tendencias de opinión.",,,2026-08-26,,,,,,,,,,,
loret_de_mola,Carlos Loret de Mola,Periodista y conductor (Latinus),Medios de comunicación,,bajo,8,,CL,"Su influencia proviene del periodismo de investigación, enfocado en documentar casos de corrupción, asignación de contratos y operaciones del círculo cercano al gobierno federal.",,,2026-08-26,,,,,,,,,,,
azucena_uresti,Azucena Uresti,"Conductora y periodista (Radio Fórmula, Grupo Multimedios)",Medios de comunicación,,bajo,7,,AU,Ganó enorme influencia por su cobertura de violencia de género y seguridad en los estados; una de las voces femeninas más escuchadas del gremio.,,,2026-08-26,,,,,,,,,,,
carmen_aristegui,Carmen Aristegui,"Periodista (Aristegui Noticias, CNN en Español)",Medios de comunicación,,bajo,8,,CA,"Una de las periodistas más influyentes de México, con periodismo de investigación sobre corrupción, abuso de poder y derechos humanos.",Reuters Institute (Oxford),https://reutersinstitute.politics.ox.ac.uk/es/news-creators-influencers/2025/mexico,2026-08-26,,,,,,,,,,,
raymundo_riva_palacio,Raymundo Riva Palacio,Columnista (El Financiero) y director de Eje Central,Medios de comunicación,,bajo,6,,RR,"Columnista indispensable para la clase política, conocido por sus redes de información confidencial dentro del gobierno y las agencias de seguridad.",,,2026-08-26,,,,,,,,,,,
adela_micha,Adela Micha,"Periodista (La Saga, plataforma digital propia)",Medios de comunicación,,bajo,6,,AM,"Tras salir de la televisión tradicional construyó su propia plataforma digital independiente, con enorme influencia en entrevista política.",,,2026-08-26,,,,,,,,,,,
julio_hernandez_lopez,Julio Hernández López,"Columnista (""Astillero"", La Jornada) y director de canal digital propio",Medios de comunicación,,bajo,6,,JH,"Una de las voces de izquierda e independientes más respetadas, con gran impacto en las bases del partido gobernante.",,,2026-08-26,,,,,,,,,,,
pascal_beltran,Pascal Beltrán del Río,"Director editorial de Excélsior, conductor en Imagen Radio",Medios de comunicación,,bajo,6,,PB,Representa una línea editorial más institucional y técnica dentro de los medios tradicionales.,,,2026-08-26,,,,,,,,,,,
pepe_cardenas,Pepe Cárdenas,Conductor (Grupo Fórmula),Medios de comunicación,,bajo,6,,PC,"Encargado de espacios informativos vespertinos clave donde desfilan diariamente gobernadores, senadores y secretarios de Estado.",,,2026-08-26,,,,,,,,,,,
hector_de_mauleon,Héctor de Mauleón,Columnista y periodista de investigación (El Universal),Medios de comunicación,,bajo,6,,HD,"Investigaciones sobre redes de crimen organizado, corrupción política, seguridad pública e historia urbana de la CDMX; voz clave del debate nacional.",,,2026-08-26,,,,,,,,,,,
denise_maerker,Denise Maerker,"Periodista (Radio Fórmula, El Universal), conductora de ""Es la Hora de Opinar""",Medios de comunicación,,bajo,7,,DM,Ex-conductora del noticiero estelar de Televisa (En Punto). Su peso radica en su credibilidad y estilo riguroso y objetivo.,,,2026-08-26,,,,,,,,,,,
victor_trujillo_brozo,"Víctor Trujillo (""Brozo"")","Político, comediante y periodista",Medios de comunicación,,bajo,6,,VT,"A través de su personaje ""Brozo"" ejerce influencia masiva mediante sátira política, crítica directa al poder y entrevistas de alto impacto.",,,2026-08-26,,,,,,,,,,,
pedro_ferriz,Pedro Ferriz de Con,Comunicador (radio y medios independientes),Medios de comunicación,,bajo,5,,PF,"Comunicador histórico de la radio mexicana, una de las voces de oposición más duras y directas contra el partido en el poder.",,,2026-08-26,,,,,,,,,,,
denise_dresser,Denise Dresser,"Politóloga, columnista (Reforma) y analista",Academia / análisis político,,bajo,6,,DD,Una de las voces de la academia más críticas contra las reformas del gobierno federal.,,,2026-08-26,,,,,,,,,,,
leo_zuckermann,Leo Zuckermann,"Conductor (""Es la Hora de Opinar"", Foro TV) y columnista",Academia / análisis político,,bajo,6,,LZ,Referente central para el análisis económico y político desde una perspectiva liberal.,,,2026-08-26,,,,,,,,,,,
cnte,Coordinadora Nacional de Trabajadores de la Educación (CNTE),Organización magisterial disidente,Independiente,,medio,7,,CN,"Corriente disidente dentro del magisterio, sin registro legal propio pero con reconocimiento de facto del gobierno federal. Sin secretaría general ni líderes formales por diseño estatutario — se organiza por asambleas (escuela, regional, seccional, nacional). Presencia fuerte en Oaxaca, Chiapas, Guerrero, Michoacán y CDMX. En mayo de 2026 su Asamblea Nacional Representativa aprobó huelga nacional indefinida.",Wikipedia / cobertura de prensa nacional,https://es.wikipedia.org/wiki/Coordinadora_Nacional_de_Trabajadores_de_la_Educaci%C3%B3n,2026-08-31,,,,,,,,,,,
